1,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5
3,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8,376.8
3,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1
6,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8,628.8
3,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4
8,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3,834.3
2,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9
3,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2,365.2
3,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4
4,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1,475.1
